rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
57,the lives of others,2006,drama thriller,german,87.0,84.0,425676,89.0,85.0,91,92.0,131607,86,151084,91.0,tt0405094,87.83,7.0
58,the best years of our lives,1946,drama romance war,english,87.0,81.0,73744,93.0,91.0,63,89.0,20090,84,38366,89.0,tt0036868,87.83,2.0
59,the shop around the corner,1940,comedy drama romance,english,87.0,80.0,41339,96.0,90.0,51,88.0,30945,84,68741,89.0,tt0033045,87.83,2.0
60,there will be blood,2007,drama,english,88.0,82.0,666631,93.0,87.0,166,84.0,462225,90,874342,91.0,tt0469494,87.83,3.0
61,the seventh seal,1957,fantasy drama,swedish,87.0,81.0,206854,88.0,91.0,57,90.0,132192,86,297436,90.0,tt0050976,87.67,1.0
62,the lord of the rings the two towers,2002,adventure fantasy action,english,87.0,88.0,1861078,87.0,86.0,140,92.0,1379232,88,1454840,85.0,tt0167261,87.67,6.0
63,do the right thing,1989,drama,english,88.0,80.0,117516,93.0,92.0,82,86.0,177459,88,384341,86.0,tt0097216,87.5,6.0
64,amadeus,1984,history music drama,english,87.0,84.0,446044,87.0,89.0,85,91.0,240893,86,361671,88.0,tt0086879,87.5,2.0
65,eternal sunshine of the spotless mind,2004,science fiction drama romance,english,87.0,83.0,1129606,89.0,86.0,165,90.0,1168654,84,2359950,93.0,tt0338013,87.5,4.0
66,the night of the hunter,1955,crime drama thriller,english,87.0,80.0,102071,97.0,93.0,82,87.0,72731,86,168419,82.0,tt0048424,87.5,6.0
67,ratatouille,2007,animation comedy family fantasy,english,87.0,81.0,877175,96.0,88.0,152,84.0,1516553,84,2402281,91.0,tt0382932,87.33,4.0
68,past lives,2023,drama romance,english,87.0,78.0,148063,94.0,92.0,181,87.0,422095,84,1258872,88.0,tt13238346,87.2,5.0
