rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
379,arrival,2016,drama science fiction mystery,english,82.0,79.0,811528,81.0,83.0,329,80.0,659702,82,1808063,84.0,tt2543164,81.5,3.0
380,blackfish,2013,documentary,english,80.0,81.0,74576,83.0,81.0,87,87.0,49227,80,90036,77.0,tt2545118,81.5,6.0
381,amy,2015,documentary music,english,81.0,78.0,56837,85.0,84.0,139,84.0,51318,80,109242,78.0,tt2870648,81.5,0.0
382,belle de jour,1967,drama romance,french,81.0,76.0,51150,87.0,87.0,57,83.0,37251,80,103314,86.0,tt0061395,81.5,4.0
383,all quiet on the western front,2022,war history drama,german,82.0,78.0,272269,76.0,81.0,114,87.0,266337,80,791518,92.0,tt1016150,81.4,6.0
384,the birds,1963,horror thriller,english,81.0,76.0,212072,90.0,85.0,67,81.0,226724,76,326153,80.0,tt0056869,81.33,4.0
385,the lunchbox,2013,drama romance,hindi,81.0,78.0,63364,76.0,77.0,85,83.0,25991,80,46783,94.0,tt2350496,81.33,6.0
386,meet me in st louis,1944,comedy drama romance family,english,81.0,75.0,29429,94.0,89.0,54,82.0,44260,76,58472,72.0,tt0037059,81.33,7.0
387,malcolm x,1992,drama history,english,80.0,77.0,105909,73.0,77.0,50,87.0,82751,84,133925,90.0,tt0104797,81.33,10.0
388,laura,1944,drama mystery,english,82.0,79.0,53523,87.0,89.0,51,86.0,28730,80,64424,72.0,tt0037008,81.2,3.0
389,the wonderful story of henry sugar,2023,comedy fantasy adventure,english,81.0,74.0,79116,85.0,84.0,55,87.0,143750,76,429286,87.0,tt16968450,81.2,3.0
390,moneyball,2011,drama,english,81.0,76.0,483651,87.0,82.0,197,82.0,248313,78,559774,82.0,tt1210166,81.17,0.0
391,midnight cowboy,1969,drama,english,81.0,78.0,125825,79.0,84.0,73,84.0,76945,82,150475,80.0,tt0064665,81.17,0.0
392,gone girl,2014,mystery thriller drama,english,80.0,81.0,1114383,79.0,81.0,279,85.0,847569,82,2283255,79.0,tt2267998,81.17,4.0
393,captain phillips,2013,action drama thriller,english,80.0,78.0,506195,82.0,83.0,211,85.0,205779,76,311200,83.0,tt1535109,81.17,2.0
394,sicario,2015,action crime thriller,english,81.0,77.0,504995,82.0,81.0,224,82.0,274632,80,686077,85.0,tt3397884,81.17,1.0
395,the little mermaid,1989,animation family fantasy,english,80.0,76.0,300298,88.0,84.0,75,84.0,786845,74,558144,81.0,tt0097757,81.17,0.0
396,skyfall,2012,action adventure thriller,english,81.0,78.0,748282,81.0,82.0,258,82.0,492679,78,726952,86.0,tt1074638,81.17,0.0
397,coraline,2009,animation family fantasy,english,82.0,78.0,281862,80.0,79.0,149,74.0,850948,84,1781182,92.0,tt0327597,81.17,5.0
398,lady bird,2017,drama comedy,english,82.0,74.0,349719,93.0,89.0,259,77.0,802603,76,2359917,78.0,tt4925292,81.17,12.0
399,the wicker man,1973,horror,english,81.0,75.0,98951,87.0,82.0,66,79.0,104949,80,227819,84.0,tt0070917,81.17,3.0
400,what we do in the shadows,2014,comedy horror,english,81.0,76.0,207384,76.0,78.0,140,83.0,191766,82,519424,92.0,tt3416742,81.17,5.0
401,burning,2018,mystery drama thriller,korean,81.0,74.0,81046,91.0,87.0,133,78.0,90786,80,268302,76.0,tt7282468,81.0,9.0
402,adaptation,2002,comedy crime drama,english,81.0,77.0,208162,83.0,82.0,107,82.0,209812,82,251436,80.0,tt0268126,81.0,0.0
403,the wolf of wall street,2013,crime drama comedy,english,81.0,82.0,1670167,75.0,77.0,201,82.0,1020621,80,2696608,90.0,tt0993846,81.0,5.0
404,the great beauty,2013,drama,italian,81.0,77.0,101827,86.0,82.0,107,78.0,50986,82,121640,81.0,tt2358891,81.0,4.0
405,american splendor,2003,comedy drama,english,80.0,74.0,53472,90.0,85.0,92,82.0,40687,76,32821,79.0,tt0305206,81.0,3.0
406,catch me if you can,2002,drama crime,english,80.0,81.0,1154771,75.0,78.0,121,86.0,1008107,80,1523405,86.0,tt0264464,81.0,8.0
407,the beasts,2022,thriller drama,galician,81.0,75.0,22764,85.0,85.0,52,87.0,25478,82,76211,78.0,tt15006566,81.0,2.0
408,argentina 1985,2022,drama history crime,spanish,81.0,76.0,33863,78.0,80.0,51,87.0,46479,80,138509,91.0,tt15301048,81.0,7.0
409,blackkklansman,2018,crime comedy drama history,english,81.0,75.0,300877,83.0,83.0,271,81.0,312654,78,913658,86.0,tt7349662,81.0,2.0
410,assault on precinct 13,1976,thriller action crime,english,81.0,73.0,58164,89.0,81.0,57,78.0,45230,76,86112,88.0,tt0074156,80.83,3.0
411,eraserhead,1977,horror,english,81.0,73.0,135915,87.0,85.0,70,80.0,171798,76,399798,84.0,tt0074486,80.83,5.0
412,baby driver,2017,action crime,english,80.0,75.0,646064,86.0,82.0,259,83.0,782217,74,2216927,85.0,tt3890160,80.83,1.0
413,the secret of kells,2009,animation family fantasy,english,80.0,75.0,39450,81.0,77.0,59,82.0,25130,76,52128,94.0,tt0485601,80.83,5.0
414,west side story,1961,crime drama romance,english,81.0,76.0,124268,86.0,85.0,76,81.0,181504,76,205886,81.0,tt0055614,80.83,4.0
415,dont look now,1973,thriller drama horror,english,82.0,71.0,65824,95.0,91.0,72,74.0,48307,76,107001,78.0,tt0069995,80.83,17.0
416,once upon a time in anatolia,2011,drama crime,turkish,82.0,78.0,51984,82.0,82.0,69,74.0,20522,84,49211,85.0,tt1827487,80.83,8.0
417,the taste of things,2023,romance drama,french,81.0,74.0,17334,85.0,85.0,106,87.0,25805,80,76768,80.0,tt19760052,80.8,2.0
418,judas and the black messiah,2021,drama history,english,81.0,74.0,94545,84.0,83.0,201,87.0,101742,80,299328,83.0,tt9784798,80.8,4.0
419,society of the snow,2023,drama history,spanish,81.0,78.0,159519,72.0,77.0,94,87.0,303260,82,905866,95.0,tt16277242,80.8,10.0
420,fire of love,2022,documentary,english,81.0,76.0,15708,84.0,83.0,93,87.0,35029,82,104389,79.0,tt16227014,80.8,4.0
421,decision to leave,2022,thriller mystery romance,korean,81.0,73.0,61599,85.0,84.0,146,87.0,106462,80,317920,82.0,tt12477480,80.8,3.0
422,ex machina,2015,drama science fiction,english,80.0,77.0,614501,78.0,81.0,201,83.0,401977,80,1057393,85.0,tt0470752,80.67,2.0
423,blow out,1981,thriller mystery crime drama,english,80.0,74.0,68965,86.0,81.0,52,80.0,72170,82,192708,81.0,tt0082085,80.67,1.0
424,carrie,1976,horror thriller,english,81.0,74.0,216883,86.0,84.0,72,76.0,440494,78,614228,86.0,tt0074285,80.67,8.0
425,drive,2011,drama thriller crime,english,81.0,78.0,732276,79.0,82.0,258,78.0,557384,78,1431744,89.0,tt0780504,80.67,4.0
426,black panther,2018,action adventure science fiction,english,81.0,73.0,868835,88.0,84.0,302,77.0,754859,74,2088155,88.0,tt1825683,80.67,7.0
427,heavenly creatures,1994,drama fantasy,english,81.0,72.0,68993,86.0,83.0,61,79.0,45694,76,56678,88.0,tt0110005,80.67,4.0
428,blade runner 2049,2017,science fiction drama,english,81.0,80.0,708433,81.0,83.0,293,79.0,560448,82,1608736,79.0,tt1856101,80.67,4.0
429,american fiction,2023,comedy drama,english,81.0,75.0,109395,81.0,82.0,157,87.0,166174,74,492612,91.0,tt23561236,80.6,5.0
430,suzume,2022,animation drama adventure fantasy,japanese,81.0,76.0,52822,77.0,79.0,82,87.0,98174,76,289215,95.0,tt16428256,80.6,8.0
431,sideways,2004,comedy drama romance,english,81.0,75.0,210213,94.0,88.0,131,77.0,179804,76,143413,73.0,tt0375063,80.5,11.0
432,spiderman 2,2004,action adventure science fiction,english,81.0,75.0,741202,83.0,83.0,177,79.0,1259923,78,1475998,85.0,tt0316654,80.5,4.0
433,a star is born,2018,music drama romance,english,81.0,76.0,434467,88.0,83.0,310,78.0,302610,72,864619,86.0,tt1517451,80.5,5.0
434,the white ribbon,2009,drama mystery,german,81.0,78.0,79534,84.0,79.0,105,78.0,83194,84,69426,80.0,tt1149362,80.5,1.0
435,top gun maverick,2022,action drama,english,81.0,82.0,768986,78.0,81.0,279,87.0,587898,80,1581141,81.0,tt1745960,80.4,6.0
436,the fly,1986,horror science fiction,english,81.0,76.0,213160,81.0,83.0,71,80.0,192023,80,395137,82.0,tt0091064,80.33,3.0
437,birdman or the unexpected virtue of ignorance,2014,drama comedy,english,81.0,77.0,680540,87.0,86.0,256,76.0,378073,80,946005,76.0,tt2562232,80.33,10.0
438,ida,2013,drama,polish,80.0,74.0,61864,91.0,86.0,129,77.0,39105,80,81214,73.0,tt2718492,80.17,9.0
439,frances ha,2012,comedy drama,english,81.0,74.0,98119,82.0,79.0,142,76.0,183802,80,510614,90.0,tt2347569,80.17,3.0
440,the death of stalin,2017,comedy drama history,english,80.0,73.0,119568,88.0,82.0,154,76.0,79907,76,225921,85.0,tt4686844,80.0,6.0
441,son of saul,2015,war drama thriller,hungarian,80.0,74.0,53176,91.0,90.0,157,77.0,26403,82,53092,66.0,tt3808342,80.0,13.0
442,m,1931,drama thriller crime,german,87.0,83.0,175896,87.0,94.0,55,91.0,80258,86,168051,46.0,tt0022100,80.0,3.0
443,kill bill vol 1,2003,action crime,english,80.0,82.0,1243483,69.0,75.0,136,80.0,22372068,84,2000199,90.0,tt0266697,80.0,5.0
444,cat people,1942,mystery horror romance,english,81.0,72.0,27231,85.0,84.0,59,72.0,27875,74,67874,89.0,tt0034587,79.33,12.0
445,rocky,1976,drama,english,82.0,81.0,655553,70.0,81.0,59,71.0,22486658,82,651986,90.0,tt0075148,79.17,10.0
446,phantom thread,2017,drama romance,english,81.0,74.0,151144,90.0,86.0,235,71.0,158555,82,459029,72.0,tt5776858,79.17,15.0
447,paterson,2016,drama comedy romance,english,81.0,73.0,91854,90.0,86.0,177,71.0,74548,78,190980,77.0,tt5247022,79.17,15.0
448,titanic,1997,drama romance,english,81.0,79.0,1331693,75.0,80.0,147,71.0,24549197,76,2052322,93.0,tt0120338,79.0,9.0
449,uncut gems,2019,drama thriller crime,english,81.0,74.0,333224,93.0,86.0,204,57.0,438510,78,1265981,74.0,tt5727208,77.0,29.0
